م | رقم صفحة المصدر | رقم الصفحة في الكتاب | القسم/الوحدة | عنوان الدرس/الموضوع | اسم الصورة الأصلي | اسم الصورة الجديد
47 | 47 | 46 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار البريطاني | PDF page 47 | ص046 - الحركات الوطنية والتحرر من الاستعمار البريطاني.jpg
48 | 48 | 47 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار البريطاني | PDF page 48 | ص047 - الحركات الوطنية والتحرر من الاستعمار البريطاني.jpg
49 | 49 | 48 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار البريطاني | PDF page 49 | ص048 - الحركات الوطنية والتحرر من الاستعمار البريطاني.jpg
50 | 50 | 49 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار البريطاني | PDF page 50 | ص049 - الحركات الوطنية والتحرر من الاستعمار البريطاني.jpg
51 | 51 | 50 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار البريطاني | PDF page 51 | ص050 - الحركات الوطنية والتحرر من الاستعمار البريطاني.jpg
52 | 52 | 51 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار البريطاني | PDF page 52 | ص051 - الحركات الوطنية والتحرر من الاستعمار البريطاني.jpg
53 | 53 | 52 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار البريطاني | PDF page 53 | ص052 - الحركات الوطنية والتحرر من الاستعمار البريطاني.jpg
54 | 54 | 53 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار البريطاني | PDF page 54 | ص053 - الحركات الوطنية والتحرر من الاستعمار البريطاني.jpg
55 | 55 | 54 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار البريطاني | PDF page 55 | ص054 - الحركات الوطنية والتحرر من الاستعمار البريطاني.jpg
56 | 56 | 55 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار البريطاني | PDF page 56 | ص055 - الحركات الوطنية والتحرر من الاستعمار البريطاني.jpg
